Source name,Confirmed images,Total points in confirmed images,Unique labels in confirmed images,Link
Chinchorro,40,1600,14,https://coralnet.ucsd.edu/source/2825/
Koloa Landing 2022 Permanent Transects,258,6450,27,https://coralnet.ucsd.edu/source/2829/
Southeast + North Bermuda,40,1600,11,https://coralnet.ucsd.edu/source/2830/
NTL_SeaGrass,1172,29300,8,https://coralnet.ucsd.edu/source/2858/
Maui_Mahinahina,430,10750,24,https://coralnet.ucsd.edu/source/2859/
Maui_Kahekili,414,10350,22,https://coralnet.ucsd.edu/source/2860/
Maui_Olowalu,678,16950,23,https://coralnet.ucsd.edu/source/2861/
Maui_Maalaea,426,10650,14,https://coralnet.ucsd.edu/source/2862/
Maui_Molokini,664,16600,22,https://coralnet.ucsd.edu/source/2863/
Maui_Kanahena Bay,653,16325,21,https://coralnet.ucsd.edu/source/2864/
Maui_Kanahena Pt.,422,10550,14,https://coralnet.ucsd.edu/source/2865/
Molokai_Kamalo,434,10850,24,https://coralnet.ucsd.edu/source/2866/
Molokai_Pala'au,444,11100,21,https://coralnet.ucsd.edu/source/2867/
Molokai_Kamiloloa,427,10675,25,https://coralnet.ucsd.edu/source/2868/
Maui_Puamana,436,10900,21,https://coralnet.ucsd.edu/source/2874/
Shahar Rabinovitz Seagrass,154,3850,7,https://coralnet.ucsd.edu/source/2882/
Hamad New,165,4125,19,https://coralnet.ucsd.edu/source/2886/
MBON P2P (AMPs.ARG),717,71700,17,https://coralnet.ucsd.edu/source/2897/
Chieh-Jhen Chen,660,19800,19,https://coralnet.ucsd.edu/source/2903/
Drop Cam characterization,243,18225,29,https://coralnet.ucsd.edu/source/2922/
NOAA ESD Coral Bleaching Classifier,4221,48592,3,https://coralnet.ucsd.edu/source/2947/
BHP GSR Fiji,1268,31700,11,https://coralnet.ucsd.edu/source/2955/
New monitoring Neptun,271,6775,5,https://coralnet.ucsd.edu/source/2960/
"Iriona, Colón",300,3000,36,https://coralnet.ucsd.edu/source/2969/
TRSP_SFM,47,1128,36,https://coralnet.ucsd.edu/source/2977/
Micro,3027,81114,77,https://coralnet.ucsd.edu/source/2978/
Section_2b_WedPM,66,6600,16,https://coralnet.ucsd.edu/source/2991/
BIOL 4950,49,1225,15,https://coralnet.ucsd.edu/source/3004/
3seas41 TME Kaneohe Group 1,20,2000,8,https://coralnet.ucsd.edu/source/3008/
TME Kaneohe Group 2,18,1800,9,https://coralnet.ucsd.edu/source/3010/
TME Kaneohe Group 4,29,2900,8,https://coralnet.ucsd.edu/source/3011/
TME Kaneohe ASFP,8,800,9,https://coralnet.ucsd.edu/source/3013/
Micro_challenge,7081,35594,75,https://coralnet.ucsd.edu/source/3015/
Mahukona,41,2050,14,https://coralnet.ucsd.edu/source/3028/
WorkshopTest,61,1325,41,https://coralnet.ucsd.edu/source/3046/
Crescent Beach,38,1900,14,https://coralnet.ucsd.edu/source/3054/
micro_combined,20835,170343,128,https://coralnet.ucsd.edu/source/3058/
Vamizi,1522,38050,86,https://coralnet.ucsd.edu/source/3063/
Southern Line Islands,2211,55275,32,https://coralnet.ucsd.edu/source/3064/
Bmoo,24,720,9,https://coralnet.ucsd.edu/source/3075/
BIOL 319_BELW,40,1200,14,https://coralnet.ucsd.edu/source/3076/
Jenny_Kayla,20,600,11,https://coralnet.ucsd.edu/source/3079/
Halle and Serena,30,900,13,https://coralnet.ucsd.edu/source/3080/
Sarah_Chloe_Bonaire,20,600,11,https://coralnet.ucsd.edu/source/3081/
BM/SA_319,20,600,11,https://coralnet.ucsd.edu/source/3089/
Kyla_Shae_Isabelle,29,870,15,https://coralnet.ucsd.edu/source/3093/
Mitchell&Broome,20,600,15,https://coralnet.ucsd.edu/source/3094/
Kaylee and Yasmine,22,660,14,https://coralnet.ucsd.edu/source/3095/
Maddy Hawaii,20,600,7,https://coralnet.ucsd.edu/source/3137/
MGM,20,600,12,https://coralnet.ucsd.edu/source/3138/
World Harbour Project,66,6600,33,https://coralnet.ucsd.edu/source/3156/
Capstone 2022,339,16950,9,https://coralnet.ucsd.edu/source/3172/
Norfolk Benthic Cover Longterm Monitoring 2020 to August 2023,3577,357700,41,https://coralnet.ucsd.edu/source/3182/
PUR PROJET PERJARAKAN,211,5275,49,https://coralnet.ucsd.edu/source/3241/
Altieri Biscayne Bay,249,12450,40,https://coralnet.ucsd.edu/source/3249/
Masonboro Inlet North Jetty,375,18750,50,https://coralnet.ucsd.edu/source/3263/
VictoriaHeatdome,123,12300,43,https://coralnet.ucsd.edu/source/3290/
Moreton Bay Transects,718,71800,63,https://coralnet.ucsd.edu/source/3298/
AFCD trial,22,770,6,https://coralnet.ucsd.edu/source/3299/
Memba MB19,75,1875,32,https://coralnet.ucsd.edu/source/3300/
AFCD trial species,21,525,6,https://coralnet.ucsd.edu/source/3305/
Puerto Rico,80,16000,22,https://coralnet.ucsd.edu/source/3327/
ESD_MARIANA_2022_BIA_Calibration,695,6950,70,https://coralnet.ucsd.edu/source/3336/
Maunalua Bay Nearshore (official),521,15630,35,https://coralnet.ucsd.edu/source/3341/
West_Hawaii_eDNA_2022,1204,1204000,25,https://coralnet.ucsd.edu/source/3342/
LH CBC 2019-2022,443,17720,55,https://coralnet.ucsd.edu/source/3349/
TEST Louise,110,1320,24,https://coralnet.ucsd.edu/source/3350/
REEFolution Kenya,1600,80000,64,https://coralnet.ucsd.edu/source/3354/
island wide,564,16920,19,https://coralnet.ucsd.edu/source/3357/
WAPA Coral Inventory 2.0,3037,154887,110,https://coralnet.ucsd.edu/source/3361/
KAHO_SfM_2022Analyses,44,1760,9,https://coralnet.ucsd.edu/source/3362/
carib,14291,395813,113,https://coralnet.ucsd.edu/source/3363/
Union Island,445,11125,14,https://coralnet.ucsd.edu/source/3365/
ZONE 3 new,505,32320,19,https://coralnet.ucsd.edu/source/3366/
Royal Charlotte,97,2910,27,https://coralnet.ucsd.edu/source/3368/
ESD_REA_MARIANA_v2,15341,153410,89,https://coralnet.ucsd.edu/source/3371/
Hawaii_Leleiwi,525,13125,38,https://coralnet.ucsd.edu/source/3373/
Hawaii_Kaapuna,190,4750,24,https://coralnet.ucsd.edu/source/3374/
Hawaii_Nenue,190,4750,22,https://coralnet.ucsd.edu/source/3375/
Hawaii_Laupahoehoe,411,10275,31,https://coralnet.ucsd.edu/source/3376/
Hawaii_Kawaihae,200,5000,25,https://coralnet.ucsd.edu/source/3377/
Hawaii_Laaloa,200,5000,27,https://coralnet.ucsd.edu/source/3378/
NTOU SSlab MO investigate,404,20200,56,https://coralnet.ucsd.edu/source/3379/
BIO 403,1259,31475,9,https://coralnet.ucsd.edu/source/3383/
BIO403 Green Group,804,20100,5,https://coralnet.ucsd.edu/source/3396/
Maldives_2022,7195,243600,80,https://coralnet.ucsd.edu/source/3401/
Valentina Rocha,600,15000,26,https://coralnet.ucsd.edu/source/3402/
Site Characterization,62,1550,17,https://coralnet.ucsd.edu/source/3406/
Micronesia_2022,14948,227594,108,https://coralnet.ucsd.edu/source/3411/
montserrat,5079,126975,84,https://coralnet.ucsd.edu/source/3413/
curacao,5771,144238,65,https://coralnet.ucsd.edu/source/3414/
Windward,3242,114625,81,https://coralnet.ucsd.edu/source/3415/
maldives_check2020,4824,120600,72,https://coralnet.ucsd.edu/source/3416/
maldives_check2021,2378,123225,63,https://coralnet.ucsd.edu/source/3417/
Faga'alu(8/9/22)_ReefFlat,152,1520,29,https://coralnet.ucsd.edu/source/3419/
CoralNet,671,134173,20,https://coralnet.ucsd.edu/source/3420/
maldives_theirs2,8852,44509,71,https://coralnet.ucsd.edu/source/3421/
Ant,3098,67610,63,https://coralnet.ucsd.edu/source/3424/
Pohnpei,687,68700,67,https://coralnet.ucsd.edu/source/3425/
carib_porites,146,4499,3,https://coralnet.ucsd.edu/source/3438/
carib_siderastrea,126,3900,3,https://coralnet.ucsd.edu/source/3439/
PELD-Iloc - Noronha,40,574,19,https://coralnet.ucsd.edu/source/3440/
carib_orbicella,142,3774,4,https://coralnet.ucsd.edu/source/3441/
carib_montastrea,135,3575,3,https://coralnet.ucsd.edu/source/3442/
carib_diploria,133,3850,5,https://coralnet.ucsd.edu/source/3443/
carib_colpophyllia,110,2825,2,https://coralnet.ucsd.edu/source/3444/
carib_bitbybit,8859,242769,99,https://coralnet.ucsd.edu/source/3446/
Maldives_Katie,6196,210225,81,https://coralnet.ucsd.edu/source/3460/
Caribbean bitbybit 2,1000,27125,73,https://coralnet.ucsd.edu/source/3465/
Maldives_bitbybit,500,16575,51,https://coralnet.ucsd.edu/source/3466/
Micronesia_bitbybit,100,2800,49,https://coralnet.ucsd.edu/source/3467/
Micronesia_bitbybit2,2000,62630,81,https://coralnet.ucsd.edu/source/3478/
cb3,5000,136646,94,https://coralnet.ucsd.edu/source/3479/
Anastasia Addicoat-White,50,500,6,https://coralnet.ucsd.edu/source/3481/
Julia Paul,154,1540,11,https://coralnet.ucsd.edu/source/3483/
Venla Kuivala,101,1010,6,https://coralnet.ucsd.edu/source/3486/
Breanna Preston,86,860,10,https://coralnet.ucsd.edu/source/3489/
Pia Maurer 2,53,530,7,https://coralnet.ucsd.edu/source/3491/
Micronesia_bitbybit3,4999,148040,84,https://coralnet.ucsd.edu/source/3496/
Maldives_bitbybit3,4999,169325,77,https://coralnet.ucsd.edu/source/3497/
MLC2008,671,120754,20,https://coralnet.ucsd.edu/source/3498/
mal100,4999,169300,77,https://coralnet.ucsd.edu/source/3499/
micro100,5000,148060,84,https://coralnet.ucsd.edu/source/3500/
2021 - BNP Ofav Outplant Project,21,1050,26,https://coralnet.ucsd.edu/source/3508/
North Shore Disease Surveys,1779,28464,29,https://coralnet.ucsd.edu/source/3519/
San Salvador,253,50600,49,https://coralnet.ucsd.edu/source/3520/
cb4,5000,136646,94,https://coralnet.ucsd.edu/source/3545/
maldives_bbb4,50,1725,35,https://coralnet.ucsd.edu/source/3546/
2Maldives_2Katie,6604,175150,81,https://coralnet.ucsd.edu/source/3551/
micro_bbb4,5000,148060,84,https://coralnet.ucsd.edu/source/3554/
maldives_bbb5,998,33750,63,https://coralnet.ucsd.edu/source/3555/
cb5,99,2650,52,https://coralnet.ucsd.edu/source/3559/
Andrej Fucak,39,780,3,https://coralnet.ucsd.edu/source/3560/
Tonga_2022-08 & Samoa_2022-09 & Samoa_2019-12 & Samoa_2017-12,6958,302425,105,https://coralnet.ucsd.edu/source/3567/
maldives_bbb6,1000,33800,63,https://coralnet.ucsd.edu/source/3573/
micro_bbb5,200,4980,56,https://coralnet.ucsd.edu/source/3574/
WAPA RFI,3696,184800,42,https://coralnet.ucsd.edu/source/3577/
malagain,200,6675,48,https://coralnet.ucsd.edu/source/3583/
Koloa Landing 2017 Permanent transects,156,3900,20,https://coralnet.ucsd.edu/source/3588/
Koloa Landing 2022-23 Random Transects,624,15600,27,https://coralnet.ucsd.edu/source/3589/
Penida benthic surveys,969,24225,52,https://coralnet.ucsd.edu/source/3606/
Evelyn's IA,186,930,5,https://coralnet.ucsd.edu/source/3611/
STRI Point,11,704,7,https://coralnet.ucsd.edu/source/3686/
Hospital Point,11,704,19,https://coralnet.ucsd.edu/source/3688/
Seagal,25,1600,14,https://coralnet.ucsd.edu/source/3689/
Bira benthic survey,26,650,31,https://coralnet.ucsd.edu/source/3692/
French Polynesia SEA Reef Surveys,1049,52450,31,https://coralnet.ucsd.edu/source/3697/
Capstone 2023,939,23475,25,https://coralnet.ucsd.edu/source/3704/
Adjacent Project,108,10800,17,https://coralnet.ucsd.edu/source/3719/
Diadema surveys,530,13250,26,https://coralnet.ucsd.edu/source/3768/
Dominica_SSMR,87,4206,19,https://coralnet.ucsd.edu/source/3771/
Recifes Esquecidos,151,15100,14,https://coralnet.ucsd.edu/source/3773/
Shannon Eckhardt,35,3500,24,https://coralnet.ucsd.edu/source/3776/
NN_AustralianOpenOceanReef,20,600,10,https://coralnet.ucsd.edu/source/3799/
Meg&Friends1,20,600,9,https://coralnet.ucsd.edu/source/3800/
Meg&Friends2,20,600,9,https://coralnet.ucsd.edu/source/3801/
One Tree Island Geomorphology,93,1860,6,https://coralnet.ucsd.edu/source/3807/
"Alex, Victor, Emma - MPA",24,720,13,https://coralnet.ucsd.edu/source/3836/
Maddie S,20,600,11,https://coralnet.ucsd.edu/source/3837/
MikJulAbyAprEmiTai,25,750,15,https://coralnet.ucsd.edu/source/3838/
EmiAprAbyJulMikMol,25,750,11,https://coralnet.ucsd.edu/source/3840/
Jake.and.Elia,20,600,21,https://coralnet.ucsd.edu/source/3848/
leodhaismac,24,600,13,https://coralnet.ucsd.edu/source/3857/
HACP,20,600,10,https://coralnet.ucsd.edu/source/3871/
Biol319_Weston,30,900,11,https://coralnet.ucsd.edu/source/3891/
Matt Bakken BIOL 319,20,600,15,https://coralnet.ucsd.edu/source/3893/
EmiMikAprJulAbbNew,25,750,13,https://coralnet.ucsd.edu/source/3906/
Pangatalan SRP,163,4075,19,https://coralnet.ucsd.edu/source/3922/
STINAPA GCRMN,869,21725,39,https://coralnet.ucsd.edu/source/3932/
Substrate (Secrets),85,850,15,https://coralnet.ucsd.edu/source/3978/
Little Horseshoe 2,81,810,12,https://coralnet.ucsd.edu/source/3984/
OTI Group 4,88,2640,22,https://coralnet.ucsd.edu/source/3985/
Turtle Canyon 4,158,1580,16,https://coralnet.ucsd.edu/source/3996/
WAPA CoralNet Training,123,6150,42,https://coralnet.ucsd.edu/source/4007/
Old_DAR_Kona_FAHU_Benthic,39,39000,26,https://coralnet.ucsd.edu/source/4009/
HI_QUEST,106,2120,20,https://coralnet.ucsd.edu/source/4088/
Little Cayman MarineGEO,199,7960,36,https://coralnet.ucsd.edu/source/4091/
TEAM_1_QUEST_PROJECT_2023,140,14000,25,https://coralnet.ucsd.edu/source/4104/
monitoring of seagrass in north  beach of gulf of Aqaba,22,550,4,https://coralnet.ucsd.edu/source/4122/
BTS_DEF,6569,142970,75,https://coralnet.ucsd.edu/source/4148/
Training Set 3,30,930,31,https://coralnet.ucsd.edu/source/4159/
Step-UP Project 2023,410,4100,25,https://coralnet.ucsd.edu/source/4193/
UAH_MA_Baseline,475,4750,21,https://coralnet.ucsd.edu/source/4200/
